	w1	w2	judgement	path	path.cov	lch	lch.cov	wup	wup.cov	res	res.cov	jcn	jcn.cov	lin	lin.cov
0	tiger	cat	7.35	0.0909	1	1.2397	1	0.5455	1	2.15	1	0.0607	1	0.207	1
1	tiger	tiger	10.0	1.0	1	3.6376	1	0.75	1	2.2677	1		0	0.1978	1
2	plane	car	5.77	0.1111	1	1.4404	1	0.6667	1	5.871	1	0.1845	1	0.6842	1
3	train	car	6.31	0.125	1	1.5581	1	0.6667	1	5.5982	1	0.1558	1	0.6357	1
4	television	radio	6.77	0.3333	1	2.539	1	0.9	1	8.1683	1	0.5157	1	0.8939	1
5	media	radio	7.42	0.25	1	2.2513	1	0.7059	1	3.4828	1	0.1043	1	0.4209	1
6	bread	butter	6.19	0.25	1	2.2513	1	0.75	1	6.8606	1	0.1721	1	0.7025	1
7	cucumber	potato	5.92	0.0588	1	0.8044	1	0.2	1	0.7747	1	0.047	1	0.0679	1
8	doctor	nurse	7.0	0.25	1	2.2513	1	0.8696	1	7.2363	1	0.4165	1	0.8577	1
9	professor	doctor	6.62	0.1429	1	1.6917	1	0.5	1	6.0948	1	0.2309	1	0.7378	1
10	student	professor	6.81	0.125	1	1.5581	1	0.5714	1	2.2677	1	0.0836	1	0.2748	1
11	smart	stupid	5.81	0.0714	1	0.9985	1	0.1333	1	-0.0	1	0.0504	1	-0.0	1
12	wood	forest	7.73	0.0909	1	1.2397	1	0.2857	1	0.6182	1	0.0621	1	0.0713	1
13	money	cash	9.15	0.25	1	2.2513	1	0.8	1	6.0657	1	0.2666	1	0.7639	1
14	king	queen	8.58	0.1	1	1.335	1	0.5714	1	2.15	1	0.0724	1	0.2374	1
15	king	rook	5.92	0.0714	1	0.9985	1	0.381	1	1.596	1	0.0706	1	0.1839	1
16	bishop	rabbi	6.69	0.2	1	2.0281	1	0.5455	1	6.7079	1	0.1294	1	0.6345	1
17	fuck	sex	9.44	0.3333	1	2.539	1	0.7143	1	6.1085	1	0.2393	1	0.7451	1
18	football	soccer	9.03	0.5	1	2.9444	1	0.88	1	8.4685	1	0.4229	1	0.8775	1
19	football	basketball	6.81	0.1667	1	1.8458	1	0.7826	1	7.9034	1	0.1706	1	0.7295	1
20	football	tennis	6.63	0.1667	1	1.8458	1	0.7826	1	7.9034	1	0.3471	1	0.8458	1
21	Arafat	Jackson	2.5	0.25	1	2.2513	1	0.5714	1	6.5052	1	0.0867	1	0.53	1
22	physics	chemistry	7.35	0.3333	1	2.539	1	0.9	1	7.9104	1	0.2362	1	0.7889	1
23	vodka	gin	8.46	0.3333	1	2.539	1	0.9091	1	8.6799	1	0.1693	1	0.7461	1
24	vodka	brandy	8.13	0.3333	1	2.539	1	0.9091	1	8.6799	1	0.2092	1	0.7841	1
25	drink	eat	6.87		0		0		0		0		0		0
26	car	automobile	8.94	1.0	1	3.6376	1	0.9167	1	7.3227	1		0	0.948	1
27	gem	jewel	8.96	0.125	1	1.5581	1	0.5882	1	2.5194	1	0.0598	1	0.2316	1
28	journey	voyage	9.29	0.25	1	2.2513	1	0.8571	1	6.5349	1	0.2306	1	0.7509	1
29	boy	lad	8.83	0.3333	1	2.539	1	0.6667	1	6.2178	1	0.1966	1	0.7097	1
30	coast	shore	9.1	0.5	1	2.9444	1	0.7273	1	6.1987	1	0.1376	1	0.6305	1
31	asylum	madhouse	8.87	0.125	1	1.5581	1	0.6316	1	4.1767	1	0.0696	1	0.3676	1
32	magician	wizard	9.02	0.1667	1	1.8458	1	0.6316	1	2.2677	1	0.0589	1	0.2109	1
33	midday	noon	9.29	1.0	1	3.6376	1	0.9	1	7.6137	1		0	0.718	1
34	furnace	stove	8.79	0.0769	1	1.0726	1	0.4545	1	2.5194	1	0.0661	1	0.25	1
35	food	fruit	7.52	0.0909	1	1.2397	1	0.2857	1	0.7747	1	0.092	1	0.1247	1
36	bird	cock	7.1	0.0625	1	0.865	1	0.2105	1	0.7747	1	0.0702	1	0.0981	1
37	bird	crane	7.38	0.1111	1	1.4404	1	0.6	1	2.15	1	0.065	1	0.2183	1
38	food	rooster	4.42	0.0625	1	0.865	1	0.2105	1	0.7747	1	0.0634	1	0.0895	1
39	money	dollar	8.42	0.1111	1	1.4404	1	0.4286	1	2.4564	1	0.0746	1	0.2683	1
40	money	currency	9.04	0.3333	1	2.539	1	0.8571	1	6.0657	1	0.5551	1	0.8707	1
41	tiger	jaguar	8.0	0.0833	1	1.1527	1	0.5217	1	2.15	1	0.0541	1	0.1887	1
42	tiger	feline	8.0	0.1	1	1.335	1	0.5714	1	2.15	1	0.0628	1	0.2125	1
43	tiger	carnivore	7.08	0.1111	1	1.4404	1	0.6	1	2.15	1	0.0674	1	0.2248	1
44	tiger	mammal	6.85	0.1429	1	1.6917	1	0.6667	1	2.15	1	0.0782	1	0.2516	1
45	tiger	animal	7.0	0.25	1	2.2513	1	0.8	1	2.15	1	0.0826	1	0.2622	1
46	tiger	organism	4.77	0.3333	1	2.539	1	0.7143	1	2.1471	1	0.1073	1	0.3155	1
47	tiger	fauna	5.62	0.1111	1	1.4404	1	0.2	1	-0.0	1	0.0425	1	-0.0	1
48	psychology	psychiatry	8.08	0.1429	1	1.6917	1	0.7273	1	6.5526	1	0.1251	1	0.6211	1
49	psychology	science	6.71	0.5	1	2.9444	1	0.8235	1	5.4911	1	0.2092	1	0.6968	1
50	psychology	discipline	5.58	0.3333	1	2.539	1	0.75	1	5.4698	1	0.2659	1	0.7442	1
51	planet	star	8.45	0.3333	1	2.539	1	0.8571	1	7.4856	1	0.5237	1	0.8869	1
52	planet	moon	8.08	0.25	1	2.2513	1	0.8	1	7.4856	1	0.2019	1	0.7514	1
53	planet	sun	8.02	0.25	1	2.2513	1	0.8	1	7.4856	1	0.2997	1	0.8177	1
54	precedent	example	5.85	0.5	1	2.9444	1	0.7692	1	5.1607	1	0.1085	1	0.5283	1
55	precedent	antecedent	6.04	0.0833	1	1.1527	1	0.1538	1	-0.0	1	0.0544	1	-0.0	1
56	cup	tableware	6.85	0.3333	1	2.539	1	0.7778	1	7.9001	1	0.4122	1	0.8669	1
57	cup	artifact	2.92	0.25	1	2.2513	1	0.6154	1	1.596	1	0.1038	1	0.2488	1
58	cup	object	3.69	0.1667	1	1.8458	1	0.3636	1	0.7747	1	0.0995	1	0.1336	1
59	cup	entity	2.15	0.125	1	1.5581	1		0	0	1	0	1	0.0	1
60	jaguar	cat	7.42	0.25	1	2.2513	1	0.8966	1	8.7734	1	0.3228	1	0.85	1
61	jaguar	car	7.27	0.0526	1	0.6931	1	0.3077	1	1.596	1	0.063	1	0.1675	1
62	mile	kilometer	8.66	0.25	1	2.2513	1	0.8	1	6.2736	1	0.1388	1	0.6353	1
63	skin	eye	6.22	0.125	1	1.5581	1	0.5882	1	4.8657	1	0.1157	1	0.5295	1
